Count,NAME,CODE,API_KEY,RESULT_FILE,UPDATE_CYCLE,MIN,MAX,LAST_UPDATE,Error_Check
55,,080Y035/I35A,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,,,,201702,-9.0
56,16.거시경제분석 지표_고용률_ ,901Y001/AI1AK,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,56.1,61.2,201702,
57,15.6.1 경제활동인구_경제활동참가율_원계열,080Y034/I61D,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,59.0,63.5,201702,
58,15.6.9 단위노동비용지수_제조업_ ,085Y063/A70A,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,QQ,91.3,149.7,20170,
59,3.6.2 예금취급기관의 가계대출(월별)_주택담보대출_ ,008Y002/11100A0,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,292436.5,557182.1,201702,
60,3.6.1 가계신용(분기별)_여신전문기관_ ,008Y001/1210000,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,QQ,23392.4,66993.5671,20170,
61,15.1.2 전산업생산지수(농림어업제외)_서비스업_생산지수(계절조정),080Y102/AC00/2,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,65.1,116.9,201702,
62,15.3.8 제조업 재고율지수_제조업_ ,080Y033/I33A,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,93.4,174.2,201702,
63,16.거시경제분석 지표_외환보유액_ ,901Y001/AI1DC,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,4701747.0,377770474.0,201702,
64,17.1.6 주가지수_미국_ ,I01Y006/USA,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,785.75,19762.6,201702,
65,17.1.6 주가지수_일본_ ,I01Y006/JPN,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,6556.19,38915.87,201702,
66,17.1.6 주가지수_중국_ ,I01Y006/CHN,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,24.442,494.576,201702,
67,17.1.6 주가지수_유로지역_ ,I01Y006/EMU,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,741.84,3858.15,201702,
68,17.1.5 주요국제금리_페더럴펀드 금리(미국)_ ,I01Y005/FFRUSA,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,0.25,20.0,201702,
69,17.1.5 주요국제금리_재무부증권(90일)(미국)_ ,I01Y005/TBUSA,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,-0.0203,15.52,201702,
70,17.1.5 주요국제금리_재무부증권(5년)(미국)_ ,I01Y005/TN5USA,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,0.581,16.27,201702,
71,17.1.5 주요국제금리_재무부증권(10년)(미국)_ ,I01Y005/TN10USA,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,1.468,5.4,201702,
72,17.1.5 주요국제금리_재무부증권(2년)(미국)_ ,I01Y005/TN2USA,MYQYZU1H7DB8MC8L55KY,ecos_result.csv,MM,0.2,16.74,201702,
